hanzi	pinyin	pos	hsk30	translation
刚	gāng	Adv	2	только что, сию минуту; всего, едва
高中	gāozhōng	N	2	средняя школа старшей ступени
公交车	gōngjiāochē	N	2	автобус, общественный транспорт
公路	gōnglù	N	2	государственная автодорога
关机	guānjī		2	выключить (телефон, компьютер)
过来	guòlái	V	2	подходить, проходить, приближаться
过年	guònián		2	встречать Новый год
海	hǎi	N	2	море; морская вода; морской; озеро
海边	hǎibiān		2	берег моря, побережье, взморье
好多	hǎoduō	Num	2	очень много; очень многие
好久	hǎojiǔ	Adj	2	долго; давно
好人	hǎorén	N	2	хороший человек
好事	hǎoshì	N	2	доброе дело; приятное дело; благо, добро
黑色	hēisè	N	2	чёрный цвет; чернота; чёрный; тёмный
红色	hóngsè	N	2	красный цвет; красный; рыжий цвет; рыжий
湖	hú	N	2	озеро; озёрный
画家	huàjiā	N	2	художник, живописец
画儿	huàr	N	2	картина, картинка
坏处	huàichù	N	2	порок, недостаток, изъян
坏人	huàirén	N	2	дурной человек, негодяй
黄色	huángsè	N	2	жёлтый цвет; жёлтый
回国	huíguó		2	вернуться на родину
或	huò	Conj	2	или, или же; будь то... или
鸡	jī	N	2	курица; петух; курятина; куриный
级	jí	N	2	уровень, ступень; класс (в школе)
急	jí	Adj	2	срочный; спешить; волноваться
计算机	jìsuànjī	N	2	компьютер
加	jiā	V	2	добавлять, прибавлять, надбавлять
加油	jiāyóu		2	давай!, поднажми!; заправляться
科学家	kēxuéjiā	N	2	учёный, деятель науки
家长	jiāzhǎng	N	2	родители (ученика); глава семьи
假期	jiàqī	N	2	отпуск, каникулы; срок отпуска
见到	jiàndào		2	увидеть; встретить
见过	jiànguo		2	видел, встречал (раньше)
讲话	jiǎnghuà		2	выступать с речью; разговаривать
交给	jiāogěi		2	передавать, вручать; вносить
交朋友	jiāopéngyou		2	дружить
叫作	jiàozuò	V	2	называться, именоваться; носить имя
教师	jiàoshī	N	2	учитель, педагог, преподаватель
教学	jiàoxué	N	2	преподавание и учёба
接到	jiēdào		2	получить, принять
接下来	jiēxiàlái		2	далее, затем; следующий
街	jiē	N	2	улица; городская магистраль; рынок
斤	jīn	M	2	цзинь (500 г)
今后	jīnhòu	N	2	отныне, впредь, в дальнейшем
进入	jìnrù	V	2	входить, проникнуть, вступать в...
酒	jiǔ	N	2	спиртное; вино; водка; алкоголь
酒店	jiǔdiàn	N	2	гостиница, отель; ресторан
就要	jiùyào	Adv	2	вот-вот; скоро
举手	jǔshǒu	V	2	поднять руку; приветствовать, голосовать
句	jù	M	2	предложение; фраза; стих; строка
卡	kǎ	N	2	карта, карточка
